ideal,actual,feeling,model,group,octant
5.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
4.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,3.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
5.0,4.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
4.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
2.0,1.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
5.0,4.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
4.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,4.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
5.0,4.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,2.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
1.0,2.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
4.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,1.0,unhappy,gpt3.5,European American,negative
2.0,2.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
4.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
5.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,1.0,unhappy,gpt3.5,European American,negative
1.0,2.0,fearful,gpt3.5,European American,high-arousal negative
1.0,2.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
5.0,4.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,1.0,unhappy,gpt3.5,European American,negative
2.0,3.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
5.0,4.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
4.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
5.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
2.0,1.0,unhappy,gpt3.5,European American,negative
2.0,3.0,fearful,gpt3.5,European American,high-arousal negative
1.0,2.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
5.0,4.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
4.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
5.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,3.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
5.0,4.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
5.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
1.0,2.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,4.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
5.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
1.0,2.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
4.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
3.0,2.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
2.0,1.0,unhappy,gpt3.5,European American,negative
2.0,3.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
3.0,2.0,quiet,gpt3.5,European American,low arousal
5.0,3.0,still,gpt3.5,European American,low arousal
3.0,2.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
2.0,1.0,unhappy,gpt3.5,European American,negative
2.0,3.0,fearful,gpt3.5,European American,high-arousal negative
1.0,2.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
4.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
5.0,4.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
2.0,1.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
2.0,2.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
5.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,3.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
2.0,3.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
1.0,2.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
5.0,4.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
4.0,3.0,content,gpt3.5,European American,positive
5.0,4.0,calm,gpt3.5,European American,low-arousal positive
5.0,3.0,at rest,gpt3.5,European American,low-arousal positive
5.0,4.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
2.0,1.0,unhappy,gpt3.5,European American,negative
2.0,1.0,fearful,gpt3.5,European American,high-arousal negative
2.0,1.0,hostile,gpt3.5,European American,high-arousal negative
2.0,3.0,nervous,gpt3.5,European American,high-arousal negative
4.0,3.0,aroused,gpt3.5,European American,high arousal
4.0,3.0,surprised,gpt3.5,European American,high arousal
5.0,3.0,astonished,gpt3.5,European American,high arousal
5.0,4.0,enthusiastic,gpt3.5,European American,high-arousal positive
5.0,4.0,excited,gpt3.5,European American,high-arousal positive
4.0,3.0,strong (elated),gpt3.5,European American,high-arousal positive
5.0,4.0,happy,gpt3.5,European American,positive
4.0,3.0,satisfied,gpt3.5,European American,positive
5.0,4.0,content,gpt3.5,European American,positive
4.0,3.0,calm,gpt3.5,European American,low-arousal positive
5.0,4.0,at rest,gpt3.5,European American,low-arousal positive
5.0,3.0,relaxed,gpt3.5,European American,low-arousal positive
5.0,4.0,peaceful (serene),gpt3.5,European American,low-arousal positive
4.0,3.0,quiet,gpt3.5,European American,low arousal
4.0,3.0,still,gpt3.5,European American,low arousal
2.0,3.0,passive,gpt3.5,European American,low arousal
1.0,2.0,dull,gpt3.5,European American,low-arousal negative
2.0,3.0,sleepy,gpt3.5,European American,low-arousal negative
1.0,2.0,sluggish,gpt3.5,European American,low-arousal negative
1.0,2.0,sad,gpt3.5,European American,negative
2.0,3.0,lonely,gpt3.5,European American,negative
1.0,2.0,unhappy,gpt3.5,European American,negative
